NAMES,Title,Author,Country,Date,Verified,Review,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Aircraft
AB Aviation,"""pretty decent airline""",Tom Hansen,Netherlands,11th November 2019,TRUE,"✅Trip Verified|  Moroni to Moheli. Turned out to be a pretty decent airline. Online booking worked well, checkin and boarding was fine and the plane looked well maintained. Its a very short flight - just 20 minutes or so so i didn't expect much but they still managed to hand our a bottle of water and some biscuits which i though was very nice. Both flights on time.",Solo Leisure,Economy Class,Moroni to Moheli,November 2019,4,5,4,,4,,3,yes,
AB Aviation,"""Not a good airline""",Gyan Fernando,United Kingdom,25th June 2019,TRUE,"✅Trip Verified| Moroni to Anjouan. It is a very small airline. My ticket advised me to turn up at 0800hrs which I did. There was confusion at this small airport. I was then directed to the office of AB Aviation which was still closed. It opened at 0900hrs and I was told that the flight had been put back to 1300hrs and that they had tried to contact me. This could not be true as they did not have my phone number. I was with a local guide and he had not been informed either. I presume that I was bumped off. The later flight did operate but as usual, there was confusion at check-in. The flight was only 30mins and there were no further problems. Not a good airline but it is the only one for Comoros.",Solo Leisure,Economy Class,Moroni to Anjouan,June 2019,2,2,1,,1,,2,no,E120
AB Aviation,"""flight was fortunately short""",Gyan Fernando,United Kingdom,25th June 2019,TRUE,"✅Trip Verified|  Anjouan to Dzaoudzi. A very small airline and the only airline based in Comoros. Check-in was disorganised because of locals with big packages and disinterested staff. The flight was fortunately short (30 mins). Took off on time and landed on time. With a short flight like there was of course no in-flight entertainment nor cabin service except for biscuits and a bottle of water, which was quite nice!",Solo Leisure,Economy Class,Anjouan to Dzaoudzi,June 2019,2,1,1,,1,,2,no,Embraer E120
Adria Airways,"""I will never fly again with Adria""",D Praetextatus,Serbia,28th September 2019,FALSE,"Not Verified|  Please do a favor yourself and do not fly with Adria. On the route from Munich to Pristina in July 2019 they lost my luggage and for 10 days in a row, despite numerous phone calls they were not able to locate it. 11 days later the luggage arrived at the destination completely ruined. Applying for compensation, they ignored my request. Foolishly again, I booked another flight with them (345 euros) Frankfurt - Pristina in September 2019. They cancelled the flight with no reason 24 hours before the departure. Desperate phone calls to customer service to get anything (rerouting, compensation, etc) were not responded. I will never fly again with Adria. What a disgrace! Shame on you Adria for constantly deceiving your customers.",Solo Leisure,Economy Class,Frankfurt to Pristina,September 2019,1,1,,,1,,1,no,
Adria Airways,"""it ruined our last days of holidays""",D Meijer,Netherlands,24th September 2019,TRUE,"✅Trip Verified| Do not book a flight with this airline! My friend and I should have returned from Sofia to Amsterdam on September 22 and 3 days before, they sent us an SMS informing the flight was cancelled. For 3 straight days we tried to reach the airline and the web agent (e-dreams) and we did not get a solution. Finally, 18 hours before our cancelled flight time, and after 35 minutes on a call (waiting), the airline was able to get us on a flight with Lufthansa. Do not book Adria Airways, it is unreliable and in our case, it ruined our last days of holidays since we needed to be on the phones all day.",Couple Leisure,Economy Class,Sofia to Amsterdam via Ljubljana,September 2019,1,1,1,1,1,1,1,no,
Adria Airways,"""Had very bad experience""",Herbse Mayer,Austria,17th September 2019,TRUE,✅Trip Verified|  Had very bad experience with rerouted and cancelled flights last weekend with Adria airways. Original Route was Ljubljana to Sarajevo return. Two weeks before i received an email that the flight was cancelled. Offered route change was Ljubljana to Sarajevo via Munich. Flight back changed to Sarajevo-Pristina-Ljubljana. I accepted. The first flight via Munich was ok. Two hours before the return flight I got the email that the flight was cancelled. I had to rebook via hotline and had to accept a flight with Croatian to Zagreb. I reached Ljubljana 4 h later and had to organize Transport from Zagreb to Ljubljana on my own cost. Do not book flights with Adria airways. I heard that their financial situation is very very bad.,Couple Leisure,Economy Class,Sarajevo to Ljubljana,September 2019,1,1,1,1,1,1,1,no,CR 900
Adria Airways,"""worse than the budget airlines""",D Bole,Switzerland,6th September 2019,FALSE,"Not Verified|  Ljubljana to Zürich. Firstly, Ljubljana airport is terrible. Badly trained staff, unfriendly. Toilets are very dirty. Flight 2 hours delayed without any information. There is no Information desk so questions aren‘t possible. Never again will use this airline. Its even worse than the budget airlines and thats difficult.",Business,Economy Class,Ljubljana to Zürich,September 2019,1,1,1,,1,,1,no,
Adria Airways,"""book another company""",B Cosmin,Germany,24th August 2019,FALSE,"Not Verified|  First of all, I am not complaining about a specific flight. I am a Lufthansa frequent Flyer and I normally fly the route Munich - Timisoara. This summer season Lufthansa offered the flights on this route to Adria Airways, as they are a star alliance member. I can only tell that I have the worst experiences with them. In over 90% of the cases they are late, they don't fly on time. Always they offer the same excuse: they have no slot free. This is an unacceptable excuse, as all other companies flying on similar coridors seem not to have this problem. In addition, as LH Cityline was operating these flights I have almost never heard this excuse, or had this problem. I am flying on this route for 6 years already. They started also to cancel some flights. Maybe combine 2 flights into 1 to spare some money, who knows. The cabin crew is decent - not wow, not bad - but there also also situations when the staff are really rude and not customer oriented. I would recommend anyone to fly with this company. If you have the chance, book another company!",Solo Leisure,Economy Class,Timisoara to Munich,August 2019,1,1,1,1,1,1,1,no,Bombardier CRJ
Adria Airways,"""combined two flights""",Thomas Gloor,Switzerland,6th August 2019,TRUE,✅Trip Verified|  Worst Airline ever! They combined two flights to save costs. Instead of flying Pristina - Ljubliana - Zürich we now fly Pristina - Ljubliana - München - Zürich. Now we arrive 2.5h later at our destination.,Solo Leisure,Economy Class,Pristina to Zürich via Ljubliana,August 2019,1,2,1,1,1,1,1,no,
Adria Airways,"""the crew was nice""",M Jager,Germany,12th October 2018,TRUE,"✅Trip Verified| Ljubljana to Munich. The homebase airport of Adria Airways is Ljubljana and it very small, relaxing and convenient. It is surrounded by the Alps and the departure was fantastic. The airplane was modern and the crew was nice. Ontime departure. Drinks without alcohol were free and I paid 4€ for my white wine. Considering that I had a cheap ticket I cannot complain. Upgrades would have been available for 30€ - which includes the lounge.",Family Leisure,Economy Class,Ljubljana to Munich,October 2018,4,4,3,,5,,5,yes,
Adria Airways,"""Very bad experience overall""",Giulia Rossi,Germany,5th October 2018,FALSE,Not Verified|  Zurich to Ljubljana. Very poor customer service. Flight was cancelled without sending any email confirmation. The flight I was rebooked seemed to be overbooked at the beginning (which was not true)and we had to wait 30 min to have our ticket changed. Very bad experience overall.,Business,Economy Class,Zurich to Ljubljana,October 2018,2,1,,1,1,1,1,no,
Adria Airways,"""bad customer service""",Galya Slavov,United States,29th July 2018,TRUE,"✅Trip Verified|  Vienna to Sofia. The flight was delayed by 2 hours. The cabin crew was annoyed that they had to offer drinks to the passengers and passing by announced they would only give one drink per customer. And coffee was a nuisance and they made it clear, even though it was on their cart. The questions would normally go ""would you drink anything?"" and not ""what would you like to drink?"". Very bad customer service.",Family Leisure,Economy Class,Vienna to Sofia,July 2018,4,1,1,,4,,1,no,
Adria Airways,"""overall very poor""",Loic Jouan,France,19th July 2018,TRUE,"✅Trip Verified|  We were traveling from Paris to Skopje on May 4th, via Ljubljana. Our flight from Ljubljana to Skopje, was canceled 10 days before our departure for no reason, leaving us in the middle of our connection at Ljubljana. Even if the company booked a hotel for us and made sure we could take a flight the next day, it prevented us from enjoying one more day in Macedonia. The company had agreed to reimburse the hostel night we had already paid but more than two months after our claim we still have no reply from the company. I e-mailed the company two times, called them on multiple occasion. The company said I would be reimbursed after 2 months. 2 months later, I still have not received anything. The experience with Adria Airways was overall very poor : - flight canceled for no reason - 2 out of 4 of the flights we took were delayed - terrible customer service, unable to give any answer to our online claim and not reimbursing the hostel night we had already paid",Solo Leisure,Economy Class,Paris to Skopje via Ljubljana,May 2018,3,3,,,3,,2,no,
